Sex,XYZ,Img_Path,Model,Img_Prediction,Age,Blur,Emotion,Device_Timestamp,Colours,Objects,Text,Time,Face_Recog,Date,Device_Make,Num_Faces,GPS
,"[9.534244, -0.89894295, -2.152015]",../p08_2013-12-05/2013-12-05_12.42.48.jpg,ZTE-BLADE,[],,9.172222228,,2002:12:08 12:00:00,"['#302a2d', '#847673', '#e2d8de', '#a6929b', '#5e5458']",['person'],,12:42:48,[],05/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.00305, -2.5197644, -2.3290794]",../p08_2013-12-05/2013-12-05_01.54.48.jpg,ZTE-BLADE,[],,65.42786522,,2002:12:08 12:00:00,"['#756457', '#938f93', '#4f3e35', '#bed1e9', '#171418']",[],PRO cece PAHS Du axe cictae,01:54:48,[],05/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.180115, -0.35412905, -2.5197644]",../p08_2013-12-05/2013-12-05_01.20.50.jpg,ZTE-BLADE,[],,7.175746686,,2002:12:08 12:00:00,"['#363237', '#63616a', '#0a0c10', '#dfe4e9', '#848792']",['bottle'],,01:20:50,[],05/12/2013,ZTE,0,"[0.0, 0.0]"
,"[8.104107, -1.0760075, -5.2165933]",../p08_2013-12-05/2013-12-05_02.06.48.jpg,ZTE-BLADE,[],,39.53252614,,2002:12:08 12:00:00,"['#2d2729', '#c8d6fc', '#131213', '#534f5d', '#94a2d9']",[],,02:06:48,[],05/12/2013,ZTE,0,"[0.0, 0.0]"
['Female'],"[9.357179, -0.35412905, -2.5197644]",../p08_2013-12-05/2013-12-05_01.02.18.jpg,ZTE-BLADE,[],['25-32'],13.30429986,['Surprise'],2002:12:08 12:00:00,"['#46383c', '#776868', '#a49397', '#f7eae4', '#17161b']","['person', 'person']",,01:02:18,"[array([-0.04613954,  0.00865965,  0.09890842, -0.02270748, -0.13403405,
       -0.02238193,  0.0161235 , -0.03260373,  0.10579178, -0.04783721,
        0.20848228,  0.01775843, -0.26654169, -0.0520565 , -0.00454388,
        0.08689799, -0.0453451 , -0.07094169, -0.10649904, -0.12129006,
       -0.01372472,  0.0390404 ,  0.06352761,  0.04994568, -0.07926974,
       -0.28833729, -0.10460357, -0.04552562,  0.02531538, -0.08944552,
       -0.03734256,  0.06709891, -0.12419151, -0.08305383,  0.028494  ,
        0.06332659, -0.10178286, -0.09166105,  0.23199549,  0.03050007,
       -0.14026761, -0.07611551,  0.06025278,  0.32872099,  0.15062645,
        0.00044942, -0.00584144,  0.02154894,  0.1288159 , -0.26073369,
        0.1026568 ,  0.12684722,  0.18477091,  0.0552972 ,  0.11827238,
       -0.1371309 ,  0.03359107,  0.17091534, -0.23627336,  0.08371142,
        0.0023041 , -0.10549746, -0.05352667, -0.15721765,  0.18369769,
        0.12199354, -0.10692148, -0.08730195,  0.15886134, -0.13836201,
        0.01296275,  0.12599975, -0.14616168, -0.20789783, -0.22834617,
        0.06233569,  0.34720355,  0.17449167, -0.14734361, -0.07000421,
       -0.00651131, -0.03722027,  0.04028567,  0.01813046, -0.09933135,
        0.03994424, -0.06405288,  0.06878326,  0.13083993, -0.04608068,
       -0.06981101,  0.2218015 ,  0.02856823,  0.00457282,  0.06922721,
        0.02248555, -0.02986213,  0.01460399, -0.18379639,  0.08728568,
        0.03872042, -0.22665702,  0.03925878, -0.01998619, -0.16686441,
        0.10590098,  0.03707264, -0.03955922, -0.0446584 , -0.0714196 ,
       -0.22127742, -0.00160853,  0.23064855, -0.30977535,  0.18743013,
        0.17715579,  0.03354088,  0.14865519,  0.01459397,  0.04731698,
       -0.01575248, -0.12866959, -0.06622148, -0.05679023,  0.08524653,
       -0.07820869,  0.06429017,  0.03917469])]",05/12/2013,ZTE,1,"[0.0, 0.0]"
,"[8.635301, 0.17706452, -2.8738933]",../p08_2013-12-05/2013-12-05_01.37.48.jpg,ZTE-BLADE,[],,29.50986829,,2002:12:08 12:00:00,"['#656681', '#100f13', '#38353f', '#f0f7fd', '#aebbf8']",[],,01:37:48,[],05/12/2013,ZTE,0,"[0.0, 0.0]"
,"[7.559293, -0.35412905, -5.938472]",../p08_2013-12-05/2013-12-05_02.33.18.jpg,ZTE-BLADE,[],,54.51162658,,2002:12:08 12:00:00,"['#f5fafd', '#363439', '#7b7678', '#9a939d', '#5f5652']",[],,02:33:18,[],05/12/2013,ZTE,0,"[54.68943317, -5.88082647]"
,"[9.00305, -2.152015, -4.862464]",../p08_2013-12-05/2013-12-05_12.32.20.jpg,ZTE-BLADE,[],,34.68940417,,2002:12:08 12:00:00,"['#987d54', '#362925', '#626b7c', '#f7f9f3', '#9ca5b0']",[],,12:32:20,[],05/12/2013,ZTE,0,"[0.0, 0.0]"
,"[8.825985, -0.89894295, -3.4187074]",../p08_2013-12-05/2013-12-05_12.43.20.jpg,ZTE-BLADE,[],,7.682839393,,2002:12:08 12:00:00,"['#5c5355', '#79716e', '#8e8384', '#ccc0ce', '#312828']",['person'],,12:43:20,[],05/12/2013,ZTE,0,"[0.0, 0.0]"
,"[8.281172, -0.53119355, -5.039529]",../p08_2013-12-05/2013-12-05_01.55.20.jpg,ZTE-BLADE,[],,42.2487048,,2002:12:08 12:00:00,"['#f3f2f9', '#4a4d54', '#0a0706', '#191613', '#322c29']",['tv'],,01:55:20,[],05/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.180115, -0.89894295, -2.3290794]",../p08_2013-12-05/2013-12-05_01.58.48.jpg,ZTE-BLADE,[],,148.7194648,,2002:12:08 12:00:00,"['#adbfd9', '#80838e', '#fefefe', '#1e1b1f', '#5c4d46']",['tv'],"(Gms fom state be returned to the Reser Ortice, Jorcanstown, for reseeech decoreioer and Botist comouses: OF 19 tne hese Whe, Comrene tal Feseereh §8 MAMPOE Hy PREC) “A sey Be Ot WI SSDEMCLED Daag pot CaO CADE 4 em SSURDR “SH CLEDEDY ett Pua! BE FEE Moy Pe8 Pe(Gms §",01:58:48,[],05/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.180115, -0.53119355, -2.5197644]",../p08_2013-12-05/2013-12-05_01.10.18.jpg,ZTE-BLADE,[],,22.47895989,,2002:12:08 12:00:00,"['#ebeaf2', '#706570', '#a096a9', '#16151e', '#554d55']","['person', 'person']",,01:10:18,[],05/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.357179, -1.4301366, -2.3290794]",../p08_2013-12-05/2013-12-05_02.21.18.jpg,ZTE-BLADE,[],,74.33881918,,2002:12:08 12:00:00,"['#403834', '#6b605e', '#110f10', '#9d9aa1', '#fcfcfd']",[],rsx,02:21:18,[],05/12/2013,ZTE,0,"[0.0, 0.0]"
,"[7.014479, 0.35412905, -6.66035]",../p08_2013-12-05/2013-12-05_12.20.20.jpg,ZTE-BLADE,[],,45.60066204,,2002:12:08 12:00:00,"['#423c35', '#5e5a57', '#928484', '#a199a1', '#757378']",[],,12:20:20,[],05/12/2013,ZTE,0,"[0.0, 0.0]"
,"[8.825985, -0.17706452, -4.3176503]",../p08_2013-12-05/2013-12-05_12.33.48.jpg,ZTE-BLADE,[],,15.92992209,,2002:12:08 12:00:00,"['#55657e', '#314975', '#86959c', '#23232a', '#3e353b']",[],,12:33:48,[],05/12/2013,ZTE,0,"[0.0, 0.0]"
,"[6.66035, -0.35412905, -6.2926006]",../p08_2013-12-05/2013-12-05_01.38.18.jpg,ZTE-BLADE,[],,6.272010591,,2002:12:08 12:00:00,"['#8d91b0', '#aebeee', '#413d44', '#fdfefe', '#73768c']",['chair'],,01:38:18,[],05/12/2013,ZTE,0,"[0.0, 0.0]"
